날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-08-10 23,서울 강남구 ,강남구,111261,0.004,0.4,0.006,0.032,27,16
2016-08-10 24,서울 강남구 ,강남구,111261,0.004,0.3,0.008,0.027,27,22
2016-08-11 01,서울 강남구 ,강남구,111261,0.004,0.4,0.006,0.028,34,21
2016-08-11 02,서울 강남구 ,강남구,111261,0.004,0.4,0.006,0.028,30,21
2016-08-11 03,서울 강남구 ,강남구,111261,0.005,0.5,0.002,0.034,34,20
2016-08-11 04,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.033,30,23
2016-08-11 05,서울 강남구 ,강남구,111261,0.005,0.6,0.002,0.032,42,18
2016-08-11 06,서울 강남구 ,강남구,111261,0.005,0.5,0.001,0.03,43,26
2016-08-11 07,서울 강남구 ,강남구,111261,0.005,0.4,0.003,0.028,32,17
2016-08-11 08,서울 강남구 ,강남구,111261,0.004,0.5,0.004,0.034,40,24
2016-08-11 09,서울 강남구 ,강남구,111261,0.004,0.4,0.008,0.033,43,29
2016-08-11 10,서울 강남구 ,강남구,111261,0.005,0.4,0.013,0.037,44,24
2016-08-11 11,서울 강남구 ,강남구,111261,0.004,0.3,0.028,0.025,38,19
2016-08-11 12,서울 강남구 ,강남구,111261,0.004,0.3,0.043,0.019,34,18
2016-08-11 13,서울 강남구 ,강남구,111261,0.004,0.3,0.053,0.02,32,23
2016-08-11 14,서울 강남구 ,강남구,111261,0.004,0.3,0.07,0.02,37,20
2016-08-11 15,서울 강남구 ,강남구,111261,0.005,0.3,0.072,0.022,37,22
2016-08-11 16,서울 강남구 ,강남구,111261,0.003,0.3,0.072,0.019,33,24
2016-08-11 17,서울 강남구 ,강남구,111261,0.004,0.3,0.067,0.022,32,17
2016-08-11 18,서울 강남구 ,강남구,111261,0.004,0.3,0.061,0.027,38,30
2016-08-11 19,서울 강남구 ,강남구,111261,0.005,0.3,0.036,0.03,0,33
2016-08-11 20,서울 강남구 ,강남구,111261,0.004,0.4,0.011,0.04,51,29
2016-08-11 21,서울 강남구 ,강남구,111261,0.003,0.3,0.006,0.034,33,27
2016-08-11 22,서울 강남구 ,강남구,111261,0.004,0.4,0.003,0.032,38,27
2016-08-11 23,서울 강남구 ,강남구,111261,0.004,0.3,0.002,0.031,38,21
2016-08-11 24,서울 강남구 ,강남구,111261,0.004,0.3,0.002,0.03,40,29
2016-08-12 01,서울 강남구 ,강남구,111261,0.004,0.3,0.004,0.025,41,28
